Name	Type	Region	PKG direct link	File Size
Block Kuzushi Kowashite Help!	PS1	JP	http://zeusXXXXJP0571/NPJJ00134_00/5thuo9rGFhDSwiipBvlqyeBaubTnJbPSpf6HeV7Wgb64VsmDud52wEdurTLeMmPXTKDtRoYshlUqPlqYE5ssC4Isdn3uyHBqote1A.pkg	27
Rageball 	PS1	EU	http://zeusXXXXEP4061/NPEF00184_00/yhyQiEwpETVRyODlMCaBAmEFLXpwCvtNtgOBcIABdESUlrRAPaVUcbktdMjZVDLu.pkg	27
The Conveni 2: Zenkoku Chain Tenkai da! 	PS1	JP	http://zeusXXXXJP0571/NPJJ00082_00/n3gN2QsJYugmOY7lLO9mBKQ8JuayOQIWMBNbrqvWBTqV1f2oBOhjep9C21JJIcOGGBk9oJW1tVs0IDVhiDD261mJ10XAhxdRNcHN5.pkg	27
Vib-Ribbon 	PS1	US	http://zeusXXXXUP9000/NPUI00571_00/AohAnvUWgMaMsmeiuQmNvPnBNCjZGpERqFrwPfTeOnrTULmiLzXWBtrXbYEECcGR.pkg	27
Pocket Tuner  (unknown difference - 1 )	PS1	JP	http://zeusXXXXJP0034/NPJJ00556_00/BoFSRpPXIkxlaGAaZxICBdkOZVEfTzoDvlCQHhamhOtOzlLEmrpDaPhpzmgXlOjIPZrlTuQtThSQGBgRmAeMiSzZcibCvgPfmtDoc.pkg	29
Turnabout 	PS1	US	http://zeusXXXXUP9000/NPUJ01499_00/BLuToHkinCLtzAKkVLhVlZRBEyALRwffyiZFgjIsXWbbiScFEDnugqXeVEnapaYi.pkg	29
Migi Hadari U-SA 	PS1	JP	http://zeusXXXXJP0011/NPJJ00013_00/KXqbPlAtAvb7qgNoHeABymMuACwCbvLSvigNg9gNctq3vhqxMW7K1bSvCGAxt4p2eIemhkxwBeefGYLwNmhOq5wffA5jvkJmLuVq1.pkg	30
Taiyou no Shippo: Wild, Pure, Simple Life 	PS1	JP	http://zeusXXXXJP0011/NPJJ00014_00/4AAhQ5xhd7rqykijir3LBg9rcr7ha3hGXyA2v3A5iEFHKbCdS0d0ynlFvIrwsFXxFfTtjOeTs189WIihTtUpcWILJQKIskTOQmvEC.pkg	30
Saikyou Ginsei Mahjong 	PS1	JP	http://zeusXXXXJP0571/NPJJ00463_00/ykNcdiLVdMg3lAyXa0hfRfqFHkJ3uHt5gVhKof4fffEYYxYvesa5Y6Y2jC0G6pup77lrwD7p7yvugEdgWdFD1NiKrK1X2yebOFfWm.pkg	31
Tsuukai!! Slot Shooting 	PS1	JP	http://zeusXXXXJP0213/NPJJ00211_00/XFys9PplHRvXOgfMH0uwLCqRaUD3u2YKbhAXGMktQB6OjafS3Yckq5JR01VVBAfPEHGP3yYbrXKASlcoF4WQ3eNVmexLPXKu4Dw0M.pkg	31
XS Junior League Football 	PS1	US	http://zeusXXXXUP9000/NPUJ01554_00/wHLfoanQTKJcPnVCqxqSTawgLIgPdCKzxFwgXubWRjddUEnCztFIpVIzUUJznDdxzVNyiwQLuRpfBHttvckKMkeJVtAsbYnRsNjlX.pkg	31
Shinsou Kaiten: Wanwan Umi Monogatari: Sanyo Pachinko Paradise DX 	PS1	JP	http://zeusXXXXJP0024/NPJJ00076_00/H6PRO4FJ1sMNJAKirKgDosHWeQI7lSFDEK3lfHAyF83WWrYFRMcca8dKQ9KWu4axwUHec700yoENdrgQIoy7KULV9GjgJnsCDGWwE.pkg	32
Simple 1500 Vol. 37: The Illust Puzzle & Slide Puzzle 	PS1	JP	http://zeusXXXXJP0367/NPJJ00347_00/oHWx2rH1lkMLjpmdxKXQyhrc5pvCV18F3xt2eC6aDxI1T97CRfx9m7Q32ItbpYEI1MR5R0w1Yx22VS5bbwjhWdqFaK1qb9Lb9XjvM.pkg	32
Waku Waku Derby 	PS1	JP	http://zeusXXXXJP0747/NPJJ00576_00/BocDHMNXMVRZbFLtclXqCJHAZSjHHbCBQeMcYrcsewaWnRoXFsAwGpkjlRkhxkrRXMhtmNhnbmubTzcFaTiFzkFCOBUPDbPXWrMHP.pkg	32
Umihara Kawase Shun Second Edition 	PS1	JP	http://zeusXXXXJP0067/NPJJ00662_00/LNcYzcCtcgcsWuETgDVIWgDDSywXEJSaqonvNTvkQDjutOxEURjBxIKBChGPpeMUHMEToQNOONoYEWbgUaVRSnnANxRNfNepIfrWz.pkg	33
DonPachi 	PS1	JP	http://zeusXXXXJP0571/NPJJ00369_00/JdohUpRHuHlLCl4PwlF68QPKGpgyqNRm1RmwoKwx3L5Qyp37MThQ2NQvcHixekDHHgi3iiJhkWn43g7aIxrCJEVtEN6NeGDIQy4gA.pkg	34
Hi-Octane: The Track Fights Back 	PS1	US	http://zeusXXXXUP9000/NPUJ00157_00/pukjpvSVJ1GQ2HwA1hmBTpeRlQVXXvyPKELYvddmWSlJt5kqIAvpagvwtOyMY6u494RjUHYTjJ8HG22o8yXbYxcPaKK29v5XccblB.pkg	34
Simple 1500 Vol.87: The Kyoutei 	PS1	JP	http://zeusXXXXJP0367/NPJJ00413_00/5HT0YOSbqCEAcYj5MoLdQLiiY7MCupxrTbKo4965LpKRU2bMrKNLQWcNRq2MrpqVmIPOCWEQMbnQiWFfYeRKtm3g0viFdir5t3QGl.pkg	34
Hi-Octane (EN/FR/DE/ES) (German store) 	PS1	EU	http://zeusXXXXEP0006/NPEF00049_00/BjqLjPmNA1cuicB9FFMY4eYwAP1t2WAy2uDLUJpNaAJEjFsE4U9WV7JgjFvhn3EpSEoxJhyOiBBcpOYbCaVMNigCbHnWc4wDLMupJ.pkg	35
Kawa no Nushi Tsuri: Hikyou o Motomete 	PS1	JP	http://zeusXXXXJP0507/NPJJ00143_00/IdikIbtgCUv1BQ2wl4daeOimxy0k2k41Rw17nVlemW3KKvog38KV3VqkRYtFNcwAsYGNEf2q5cgILXxeNFMB3Jv7PxSgMgIfCgDfa.pkg	35
SimCity 2000 	PS1	US	http://zeusXXXXUP9000/NPUJ00113_00/06oBEHiCnUBUaLWsSYH19klEXCw3nKfj9PmTi8y8RCYFr5qvQMa9TgtWtw8WnmBucBP4KdSDJc66LsTe9oF1qRMDgFJIa2io4gwA0.pkg	35
